Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
Tahoe,Dammam,Generalis Motors,Automatic,Saudi,Semi Full,2017,5.3,153000,125000
Other,Riyadh,Hyundai,Automatic,Saudi,Full,2017,5.0,106000,90000
Innova,Jeddah,Toyota,Automatic,Saudi,Semi Full,2007,2.7,199800,25000
Duster,Dammam,Renault,Automatic,Saudi,Standard,2017,2.0,124000,27000
Other,Riyadh,Generalis Motors,Automatic,Saudi,Semi Full,2015,2.4,125000,38000
C300,Riyadh,Chrysler,Automatic,Saudi,Standard,2017,3.6,133000,70000
Other,Jeddah,Honda,Manual,Saudi,Standard,2011,1.0,4200,6500
C300,Riyadh,Chrysler,Automatic,Other,Full,2008,5.7,114000,20000
Yukon,Dammam,Generalis Motors,Automatic,Saudi,Full,2007,5.3,235000,65000
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2020,1.4,35547,41500
Elantra,Qassim,Hyundai,Manual,Saudi,Semi Full,2012,1.7,300,15000
Sonata,Makkah,Hyundai,Automatic,Gulf Arabic,Semi Full,2017,2.0,130,40000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2019,2.4,78000,62000
Caprice,Dammam,Generalis Motors,Automatic,Saudi,Standard,2013,6.0,106000,79000
Other,Jeddah,Changan,Automatic,Saudi,Full,2021,2.0,2500,98000
Optra,Dammam,Generalis Motors,Manual,Saudi,Semi Full,2009,2.0,290000,7500
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2018,1.4,127000,29000
Sonata,Qassim,Hyundai,Automatic,Other,Full,2017,2.0,42157,55000
Optima,Dammam,Kia,Automatic,Saudi,Semi Full,2015,2.0,82900,46000
Camry,Riyadh,Toyota,Automatic,Saudi,Standard,2019,2.5,105285,81500
Grand Cherokee,Abha,Jeep,Automatic,Saudi,Standard,2014,5.7,233000,50000
Avalon,Tabouk,Toyota,Automatic,Saudi,Semi Full,2019,3.5,60000,115000
Pathfinder,Jeddah,Nissan,Automatic,Saudi,Standard,2014,3.5,24000,50000
Furniture,Riyadh,Toyota,Automatic,Gulf Arabic,Standard,2015,2.7,243000,50000
Elantra,Jubail,Hyundai,Automatic,Saudi,Semi Full,2018,2.0,200,1300
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2011,4.0,273392,100000
Hilux,Aseer,Toyota,Manual,Saudi,Semi Full,2009,2.7,426000,32000
S,Dammam,Mercedes,Automatic,Saudi,Semi Full,2000,3.0,100,15000
The 3,Riyadh,BMW,Automatic,Saudi,Semi Full,2013,2.0,156000,45000
Range Rover,Dammam,Land Rover,Automatic,Saudi,Full,2015,3.0,105000,190000
Yukon,Jazan,Generalis Motors,Automatic,Saudi,Semi Full,2010,5.3,360000,22000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,2.5,71629,50000
Cerato,Riyadh,Kia,Automatic,Saudi,Standard,2016,1.6,34000,32000
Caprice,Riyadh,Generalis Motors,Automatic,Saudi,Standard,2014,6.0,180000,70000
The 7,Riyadh,BMW,Automatic,Gulf Arabic,Full,2019,2.0,6000,335000
FJ,Riyadh,Toyota,Automatic,Saudi,Standard,2020,4.0,87700,117000
Camry,Riyadh,Toyota,Automatic,Saudi,Full,2017,2.5,61000,77000
Other,Qassim,Other,Manual,Gulf Arabic,Full,2014,6.0,460000,120000
G80,Riyadh,Genesis,Automatic,Other,Semi Full,2018,3.8,170000,500
Optra,Riyadh,Generalis Motors,Manual,Other,Semi Full,2009,1.6,20000000,9000
Accent,Jeddah,Hyundai,Manual,Saudi,Semi Full,2012,1.6,228000,15000
Land Cruiser,Other,Toyota,Automatic,Saudi,Full,2014,4.6,310000,100000
Cadenza,Riyadh,Kia,Automatic,Saudi,Standard,2018,1.0,74000,60000
Blazer,Dammam,Generalis Motors,Automatic,Gulf Arabic,Full,2005,3.6,150000,14000
Accent,Dammam,Hyundai,Automatic,Saudi,Full,2020,1.6,10400,53000
CX5,Riyadh,Mazda,Automatic,Gulf Arabic,Semi Full,2020,2.5,19928,86500
Victoria,Dammam,Ford,Automatic,Other,Full,2011,4.6,129000,25000
Hiace,Jubail,Toyota,Manual,Saudi,Standard,2012,2.7,126000,35000
H1,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2016,2.4,155,47000
RX5,Taef,Other,Automatic,Gulf Arabic,Full,2019,2.0,42000,1310
Land Cruiser Pickup,Dammam,Toyota,Manual,Saudi,Standard,2006,4.0,406000,55000
Charger,Riyadh,Dodge,Automatic,Saudi,Standard,2010,5.7,240000,25000
Range Rover,Riyadh,Land Rover,Automatic,Gulf Arabic,Full,2020,5.0,65000,435000
GS,Riyadh,Lexus,Automatic,Gulf Arabic,Semi Full,2019,3.5,62000,170000
CX9,Dammam,Mazda,Automatic,Gulf Arabic,Full,2016,3.7,193000,68000
FJ,Jubail,Toyota,Automatic,Saudi,Semi Full,2014,4.0,237000,85000
Marquis,Taef,Ford,Automatic,Saudi,Semi Full,2008,4.6,380000,15000
Creta,Al-Ahsa,Hyundai,Automatic,Saudi,Semi Full,2017,1.6,125000,57000
Wrangler,Dammam,Jeep,Automatic,Saudi,Full,2018,3.0,70000,108000
RX,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2013,3.5,190000,85000
ML,Makkah,Mercedes,Automatic,Saudi,Semi Full,2005,3.7,356000,19000
Other,Jeddah,Mitsubishi,Manual,Saudi,Standard,2015,2.5,103000,30000
CS75,Riyadh,Changan,Automatic,Saudi,Full,2017,1.8,107000,37000
Hilux,Qassim,Toyota,Manual,Saudi,Full,2015,2.7,328000,66000
Spark,Riyadh,Generalis Motors,Automatic,Saudi,Standard,2020,1.4,16000,27000
Other,Riyadh,Other,Manual,Saudi,Semi Full,2013,2.0,16000,35000
Hilux,Other,Toyota,Manual,Saudi,Full,2007,2.7,445250,50000
Elantra,Taef,Hyundai,Automatic,Saudi,Standard,2015,1.6,227000,28000
Land Cruiser,Dammam,Toyota,Manual,Gulf Arabic,Full,2019,4.6,74000,180000
Senta fe,Khobar,Hyundai,Automatic,Saudi,Full,2015,3.3,246000,60000
Yaris,Dammam,Toyota,Automatic,Saudi,Semi Full,2019,1.5,42628,38500
Tahoe,Riyadh,Generalis Motors,Automatic,Saudi,Semi Full,2013,5.3,250000,70000
Prado,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2018,4.0,24000,140000
Sonata,Dammam,Hyundai,Automatic,Saudi,Semi Full,2016,2.4,260,40000
Land Cruiser,Tabouk,Toyota,Automatic,Gulf Arabic,Full,2013,4.6,186,138000
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2018,2.5,179000,76000
Accord,Jeddah,Honda,Automatic,Gulf Arabic,Full,2005,2.4,300000,11000
Odyssey,Jeddah,Honda,Automatic,Saudi,Standard,2020,3.5,40000,100000
Tahoe,Jeddah,Generalis Motors,Automatic,Saudi,Standard,2017,5.3,136517,107000
Impala,Dammam,Generalis Motors,Automatic,Saudi,Standard,2016,3.5,91000,55000
Other,Riyadh,Kia,Automatic,Saudi,Semi Full,2020,1.6,4800,73000
6,Jeddah,Mazda,Automatic,Saudi,Standard,2016,2.5,88350,50000
Yukon,Riyadh,Generalis Motors,Automatic,Saudi,Semi Full,2007,5.0,303000,36000
CX5,Riyadh,Mazda,Automatic,Saudi,Full,2019,2.5,33000,102000
Cadenza,Riyadh,Kia,Automatic,Saudi,Standard,2017,3.0,93000,57000
Accord,Riyadh,Honda,Automatic,Saudi,Semi Full,2013,2.4,250920,55000
Other,Riyadh,Cadillac,Automatic,Saudi,Standard,2017,3.6,24000,130000
Suburban,Al-Medina,Generalis Motors,Automatic,Other,Semi Full,1997,6.0,292764,4000
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2019,1.5,123291,29500
Caprice,Riyadh,Generalis Motors,Automatic,Saudi,Standard,2013,6.0,74522,79500
Silverado,Khobar,Generalis Motors,Automatic,Gulf Arabic,Full,2019,5.3,77000,185000
Azera,Riyadh,Hyundai,Automatic,Other,Semi Full,2011,3.5,447,21000
Caprice,Tabouk,Generalis Motors,Automatic,Saudi,Semi Full,2011,8.0,236000,35000
Flex,Qassim,Ford,Automatic,Saudi,Standard,2014,3.5,128500,49000
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2017,3.5,128439,76500
Tucson,Jeddah,Hyundai,Automatic,Saudi,Standard,2017,1.6,17005,70000
D-MAX,Riyadh,Other,Manual,Saudi,Standard,2018,2.5,203957,68500
Sunny,Qassim,Nissan,Automatic,Gulf Arabic,Standard,2016,1.5,158000,23000
FJ,Aseer,Toyota,Automatic,Gulf Arabic,Full,2015,4.0,200000,88000
Land Cruiser Pickup,Riyadh,Toyota,Manual,Saudi,Semi Full,2016,4.0,243000,95000
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2013,5.7,222816,153500
Yukon,Aseer,Generalis Motors,Automatic,Saudi,Full,2021,5.3,3700,310000
Other,Riyadh,Other,Automatic,Saudi,Full,2017,1.4,45000,36000
Land Cruiser,Qassim,Toyota,Automatic,Saudi,Full,2016,4.0,179812,155000
Other,Jeddah,Renault,Automatic,Saudi,Full,2012,2.6,144000,20000
Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Semi Full,2016,3.5,193000,45000
Impala,Taef,Generalis Motors,Automatic,Saudi,Semi Full,2018,3.6,35000,85000
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.5,126000,63000
Caprice,Riyadh,Generalis Motors,Automatic,Saudi,Standard,2015,6.0,105000,80000
Elantra,Jeddah,Hyundai,Automatic,Saudi,Standard,2017,2.0,145000,37000
S,Tabouk,Mercedes,Automatic,Gulf Arabic,Full,2003,3.0,440000,16000
Tahoe,Riyadh,Generalis Motors,Automatic,Saudi,Standard,2015,5.3,233000,98000
Other,Qassim,Other,Automatic,Saudi,Semi Full,2015,4.0,183000,69000
Cerato,Jeddah,Kia,Automatic,Saudi,Semi Full,2016,1.6,112000,30000
Other,Dammam,Lexus,Automatic,Gulf Arabic,Full,2020,2.0,10000,176000
Pathfinder,Dammam,Nissan,Automatic,Saudi,Semi Full,2005,3.5,308,13000
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.4,91000,32000
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2016,1.4,115,22500
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2019,1.5,88795,26500
Tahoe,Jeddah,Generalis Motors,Automatic,Saudi,Standard,2012,5.3,61000,80000
Optima,Tabouk,Kia,Automatic,Other,Semi Full,2018,2.4,125000,55000
Yaris,Al-Jouf,Toyota,Automatic,Saudi,Semi Full,2016,1.5,130000,30000
Navara,Jeddah,Nissan,Automatic,Other,Full,2015,2.5,19000,38000
Accent,Dammam,Hyundai,Manual,Saudi,Standard,2005,1.5,294602,5000
X-Trail,Aseer,Nissan,Automatic,Saudi,Semi Full,2016,2.5,142000,46000
Yukon,Dammam,Generalis Motors,Automatic,Saudi,Standard,2017,5.3,137317,130000
H1,Aseer,Hyundai,Automatic,Saudi,Semi Full,2018,2.4,49000,70000
Charger,Jubail,Dodge,Automatic,Saudi,Semi Full,2019,3.6,51000,2069
Edge,Riyadh,Ford,Automatic,Saudi,Standard,2016,3.6,197000,62000
Furniture,Dammam,Toyota,Automatic,Saudi,Semi Full,2020,4.0,3000,135000
Accord,Riyadh,Honda,Automatic,Saudi,Semi Full,2014,4.0,349000,48000
S,Riyadh,Mercedes,Automatic,Saudi,Full,2007,3.5,243000,45000
X,Dammam,BMW,Automatic,Gulf Arabic,Full,2020,3.0,2300,465000
Cadenza,Riyadh,Kia,Automatic,Gulf Arabic,Full,2018,3.3,69000,95000
Wrangler,Jeddah,Jeep,Automatic,Gulf Arabic,Semi Full,2018,4.4,43000,135000
Carnival,Riyadh,Kia,Automatic,Gulf Arabic,Semi Full,2017,3.8,77000,58000
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2019,1.4,70900,40000
A8,Jeddah,Audi,Automatic,Saudi,Full,2013,3.0,134000,85000
Accord,Dammam,Honda,Automatic,Saudi,Standard,2017,2.4,104000,79000
Yaris,Jeddah,Toyota,Automatic,Saudi,Standard,2018,1.5,68000,35000
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2013,1.6,251,35000
Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2014,4.6,325000,126000
ES,Riyadh,Lexus,Automatic,Other,Full,2018,3.5,66000,139000
6,Al-Ahsa,Mazda,Automatic,Saudi,Standard,2018,2.5,188000,59000
Tahoe,Jeddah,Generalis Motors,Automatic,Saudi,Standard,2012,5.3,297000,52000
Altima,Jeddah,Nissan,Automatic,Saudi,Standard,2017,2.5,181000,37000
Yukon,Dammam,Generalis Motors,Automatic,Saudi,Full,2016,5.3,48000,145000
Camry,Jeddah,Toyota,Automatic,Saudi,Full,2016,2.5,155,58000
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,1.6,229507,35500
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2018,1.5,92904,25000
Cruze,Riyadh,Generalis Motors,Automatic,Saudi,Semi Full,2014,1.8,135020,24000
Sunny,Riyadh,Nissan,Manual,Saudi,Standard,2008,1.5,275000,10000
Impala,Qassim,Generalis Motors,Automatic,Saudi,Semi Full,2019,3.5,91000,74000
Pajero,Dammam,Mitsubishi,Automatic,Saudi,Full,2016,3.5,190000,58000
Blazer,Khobar,Generalis Motors,Automatic,Gulf Arabic,Semi Full,2017,3.6,115000,63000
Senta fe,Riyadh,Hyundai,Automatic,Other,Semi Full,2016,2.0,105000,76000
Furniture,Riyadh,Toyota,Automatic,Saudi,Standard,2020,4.0,21373,132000
Land Cruiser,Al-Ahsa,Toyota,Automatic,Saudi,Full,2019,4.6,134000,170000
Hilux,Makkah,Toyota,Automatic,Saudi,Semi Full,2016,2.7,211000,66000
C300,Riyadh,Chrysler,Automatic,Saudi,Full,2013,5.7,241000,41000
Durango,Riyadh,Dodge,Automatic,Other,Semi Full,2012,5.7,315,20000
Innova,Hafar Al-Batin,Toyota,Automatic,Saudi,Standard,2008,2.7,90000,20000
CX3,Al-Medina,Mazda,Automatic,Saudi,Semi Full,2018,2.9,78000,54000
Traverse,Jubail,Generalis Motors,Automatic,Gulf Arabic,Full,2012,3.6,176000,40000
Marquis,Riyadh,Ford,Automatic,Other,Standard,2001,4.6,293,10000
Patrol,Jeddah,Nissan,Automatic,Saudi,Full,2019,4.0,42000,185000
Prado,Qassim,Toyota,Automatic,Saudi,Semi Full,2018,4.0,131000,137000
LX,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2020,5.7,12794,431500
Prado,Jazan,Toyota,Manual,Saudi,Semi Full,2006,4.0,600000,33000
Datsun,Taef,Nissan,Manual,Saudi,Full,2015,2.4,200000,35000
Cerato,Jeddah,Kia,Automatic,Saudi,Standard,2019,1.6,30799,45000
Hilux,Tabouk,Toyota,Manual,Saudi,Semi Full,2013,2.7,290,55000
Azera,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2015,3.0,222306,38000
C,Dammam,Mercedes,Automatic,Gulf Arabic,Full,2018,2.0,57000,167000
Avalon,Riyadh,Toyota,Automatic,Saudi,Full,2017,3.5,104159,106500
Land Cruiser,Riyadh,Toyota,Manual,Saudi,Full,2003,4.6,395735,55000
Other,Riyadh,Honda,Automatic,Saudi,Standard,2021,1.8,6018,62000
C,Dammam,Mercedes,Automatic,Saudi,Full,2019,2.0,40000,210000
Prado,Jazan,Toyota,Automatic,Saudi,Full,2012,4.0,240000,70000
Accent,Jeddah,Hyundai,Automatic,Saudi,Standard,2017,1.4,138000,24000
A6,Riyadh,Audi,Automatic,Saudi,Semi Full,2013,3.0,74924,71500
Range Rover,Riyadh,Land Rover,Automatic,Saudi,Standard,2020,3.0,17000,428000
C,Dammam,Mercedes,Automatic,Saudi,Full,2018,3.0,44000,180000
LX,Aseer,Lexus,Automatic,Saudi,Full,2015,5.7,248,200000
Other,Al-Baha,Other,Manual,Other,Standard,2020,1.1,2848,2000
Hilux,Aseer,Toyota,Manual,Saudi,Full,2020,2.4,34000,120000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,2.4,113057,62500
The 5,Khobar,BMW,Automatic,Gulf Arabic,Full,1997,2.0,300000,10000
ES,Dammam,Lexus,Automatic,Other,Full,2016,3.5,87000,119000
E,Makkah,Mercedes,Automatic,Saudi,Full,2020,2.0,10000,285000
Prado,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2018,4.0,86000,127000
Prado,Riyadh,Toyota,Automatic,Saudi,Semi Full,2016,4.0,67000,90000
Acadia,Riyadh,Generalis Motors,Automatic,Saudi,Semi Full,2016,3.6,148000,70000
LX,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2020,5.7,19131,406500
Charger,Riyadh,Dodge,Automatic,Other,Full,2016,5.7,142000,89000
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.4,102113,39500
E,Riyadh,Mercedes,Automatic,Gulf Arabic,Full,2016,2.0,120000,135000
Taurus,Riyadh,Ford,Automatic,Other,Full,2019,3.5,32714,109000
Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2018,1.6,83000,45000
